"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-001","35th/Halsted","2017","$27,305,999","$6,976,459","$62,882,259","$422,160","$2,987,585","$0","$0","$0","$0","$0","$0","$0","$3,243,618","$0","$0","$0","$6,037,088","$371,200","$0","$6,408,288","$990,331","$28,296,330",,"$0","$0","Restricted for future redevelopment project costs","$28,296,330","$0"
"T-002","Forty-First Street and Dr. Martin Luther King, Jr. Drive","2017","$1,229,373","$189,908","$3,126,658","$18,075","$46,649","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$5,910","$161,000","$0","$166,910","$41,073","$1,270,446",,"$0","$0","Restricted for future redevelopment project costs","$1,223,646","$46,800"
"T-004","49th/St. Lawrence","2017","$1,214,954","$387,501","$6,066,339","$19,836","$83,275","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$69,104","$80,000","$0","$149,104","$258,233","$1,473,187",,"$0","$0","Restricted for future redevelopment project costs","$1,346,087","$127,100"
"T-005","60th/Western","2017","$1,904,468","$135,242","$5,514,742","$30,586","$186,368","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$190,883","$258,000","$0","$448,883","$-283,055","$1,621,413",,"$0","$0","Restricted for future redevelopment project costs","$1,607,713","$13,700"
"T-009","95th/Western","2017","$2,422,504",,"$13,289,264","$46,106","$274,489","$0","$0","$0","$0","$0","$2,600,000","$0","$1,200,000","$0","$0","$0","$221,331","$51,100","$1,000,000","$1,272,431","$-493,253","$1,929,251",,"$0","$0","Restricted for future redevelopment project costs","$1,929,251","$0"
"T-010","126th/Torrence","2017","$1,551,179","$536,090","$11,158,791","$26,275","$73,463","$0","$0","$0","$0","$0","$0","$400,000","$400,000","$0","$0","$0","$2,466,515","$13,029","$34,000","$2,513,544","$-1,538,150","$0",,"$0","$0",,"$0","$13,029"
"T-013","Bryn Mawr/Broadway","2017","$13,903,065","$2,104,233","$25,142,232","$199,552","$631,518","$0","$0","$0","$0","$0","$1,800,000","$0","$4,684,947","$0","$0","$0","$41,451","$1,500,000","$0","$1,541,451","$762,334","$14,665,399",,"$0","$0","Restricted for future redevelopment project costs","$13,527,199","$1,138,200"
"T-021","Englewood Mall","2017","$2,729,170","$339,504","$9,473,418","$35,251","$1,115,875","$0","$0","$0","$0","$0","$0","$45,883","$7,545,883","$0","$0","$0","$83,426","$0","$0","$83,426","$337,212","$3,066,382",,"$0","$0","Restricted for future redevelopment project costs","$3,066,382","$0"
"T-023","Goose Island","2017","$14,625,572","$4,277,221","$58,207,262","$137,650","$994,493","$0","$0","$0","$16,800,000","$0","$0","$0","$10,000,000","$0","$0","$0","$3,458,079","$307,100","$0","$3,765,179","$687,273","$15,312,845","Restricted for debt service","$16,800,000","$4,763,335","Restricted for future redevelopment project costs","$10,529,510","$0"
"T-024","Homan/Arthington","2017","$2,926,045","$599,352","$8,780,978","$37,894","$291,213","$0","$0","$0","$0","$0","$0","$0","$1,062,798","$0","$0","$0","$12,047","$32,700","$0","$44,747","$608,722","$3,534,767",,"$0","$0","Restricted for future redevelopment project costs","$3,482,667","$52,100"
"T-027","Irving/Cicero","2017","$2,203,151","$593,419","$11,132,599","$28,641","$175,030","$0","$0","$0","$4,367,637","$0","$0","$0","$1,291,443","$0","$0","$0","$140,821","$1,000,000","$0","$1,140,821","$-518,369","$1,684,782",,"$0","$0","Restricted for future redevelopment project costs","$1,247,782","$437,000"
"T-028","Lincoln/Belmont/Ashland","2017","$404,076","$1,284,164","$21,739,671","$-6,292","$307,975","$0","$0","$0","$19,966,539","$0","$0","$0","$0","$0","$0","$0","$763,000","$0","$0","$763,000","$514,872","$918,948",,"$0","$0","Restricted for future redevelopment project costs","$418,948","$500,000"
"T-029","Michigan/Cermak","2017","$6,256,586","$1,613,595","$14,230,528","$85,829","$707,198","$0","$0","$0","$0","$0","$0","$0","$13,810,000","$0","$0","$0","$310,131","$102,200","$0","$412,331","$1,287,093","$7,543,679",,"$0","$0","Restricted for future redevelopment project costs","$4,543,679","$3,000,000"
"T-030","Near North","2017","$47,996,642","$29,623,909","$258,722,741","$577,764","$4,128,036","$0","$0","$0","$55,000,000","$0","$0","$0","$3,546,644","$0","$0","$0","$10,140,635","$1,627,600","$0","$11,768,235","$18,433,438","$66,430,080",,"$0","$0","Restricted for future redevelopment project costs","$60,624,980","$5,805,100"
"T-033","North Branch North","2017","$12,309,036","$4,375,755","$63,506,779","$144,729","$1,230,098","$0","$0","$0","$0","$0","$0","$0","$180,604","$0","$0","$0","$504,000","$344,900","$0","$848,900","$3,671,584","$15,980,620",,"$0","$0","Restricted for future redevelopment project costs","$14,241,120","$1,739,500"
"T-133","83rd/Stewart","2017","$1,416,038","$913,655","$6,942,964","$9,386","$17,014","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$967,505","$0","$0","$967,505","$-44,464","$1,371,574",,"$0","$0","Restricted for future redevelopment project costs","$1,371,574","$0"
